Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Les Strayhorn,DAL,RB,23,13,0,0,0,0,0,0,11,66,6.00,0,2,12,6.00,0,2,,0,,,6,7.8,8.8,6.8,,129,
Jim Thaxton,2TM,TE,25,14,4,0,0,0,0,0,1,-10,-10.00,0,4,71,17.75,0,0,,0,,,6,10.1,10.1,8.1,,41,
Tom Bailey,PHI,RB,25,11,0,0,0,0,0,0,10,32,3.20,0,6,27,4.50,0,1,,0,,,5,10.9,11.4,7.9,,133,
Hank Bjorklund,NYJ,RB,24,13,0,0,0,0,0,0,23,57,2.48,0,2,15,7.50,0,2,,0,,,5,7.2,8.2,6.2,,131,
Bill Brown,MIN,RB,36,14,0,0,0,0,0,0,19,41,2.16,0,5,41,8.20,0,3,,0,,,5,10.2,11.7,7.7,,132,
Wayne Clark,CIN,QB,27,14,1,9,22,98,0,3,1,8,8.00,1,0,0,,0,0,,1,,,5,4.7,7.7,7.7,,52,
George Farmer,CHI,WR,26,9,4,0,0,0,0,0,0,0,,0,5,45,9.00,0,0,,0,,,5,9.5,9.5,7.0,,92,
Dave Grannell,SDG,TE,22,9,0,0,0,0,0,0,0,0,,0,3,51,17.00,0,0,,0,,,5,8.1,8.1,6.6,,42,
Gary Hammond,STL,WR,25,12,0,1,1,81,0,0,0,0,,0,2,14,7.00,0,0,,0,,,5,6.6,6.6,5.6,,91,
Gerald Tinker,ATL,WR,23,12,0,0,0,0,0,0,2,5,2.50,0,1,12,12.00,0,3,,1,,,5,5.7,7.2,5.2,,90,
Willie Belton,STL,RB,26,5,0,0,0,0,0,0,12,49,4.08,0,0,0,,0,1,,0,,,4,3.9,4.4,3.9,,136,
Dexter Bussey,DET,RB,22,11,0,0,0,0,0,0,9,22,2.44,0,4,24,6.00,0,1,,0,,,4,7.6,8.1,5.6,,137,
Dean Carlson,KAN,QB,24,1,0,7,15,116,0,1,2,17,8.50,0,0,0,,0,0,,0,,,4,4.3,5.3,5.3,,53,
Doug Cunningham,WAS,RB,29,2,0,0,0,0,0,0,5,17,3.40,0,2,26,13.00,0,0,,0,,,4,6.3,6.3,5.3,,134,
Dave Gagnon,CHI,RB,23,13,0,0,0,0,0,0,1,15,15.00,0,4,20,5.00,0,0,,0,,,4,7.5,7.5,5.5,,138,
Dennis Morgan,DAL,RB,22,13,0,0,0,0,0,0,0,0,,0,0,0,,0,2,,1,,,4,4.0,5.0,4.0,,135,
Gary Parris,SDG,TE,24,14,1,0,0,0,0,0,0,0,,0,3,36,12.00,0,0,,0,,,4,6.6,6.6,5.1,,43,
Andy Hamilton,KAN,WR,24,10,0,0,0,0,0,0,0,0,,0,2,25,12.50,0,0,,0,,,3,4.5,4.5,3.5,,94,
Gary Hayman,BUF,RB,23,1,0,0,0,0,0,0,7,31,4.43,0,0,0,,0,0,,0,,,3,3.1,3.1,3.1,,139,
Eddie Hinton,NWE,WR,27,9,1,0,0,0,0,0,1,1,1.00,0,2,36,18.00,0,1,,0,,,3,4.7,5.2,3.7,,93,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Hufnagel,DEN,QB,23,4,0,6,10,70,0,1,2,22,11.00,0,0,0,,0,0,,0,,,3,3.0,4.0,4.0,,55,
