Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Byron Chamberlain,DEN,TE,24,5,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,0,,0,,,1,2.1,2.1,1.6,,81,
Tyrone Davis,NYJ,WR,23,4,0,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,0,,0,,,1,1.9,1.9,1.4,,150,
'Omar Ellison,SDG,WR,24,2,0,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,,0,,,1,1.6,1.6,1.1,,151,
Rob Johnson,JAX,QB,22,1,0,3,7,24,0,1,3,17,5.67,0,0,0,0,,0,0,,0,,,1,0.7,1.7,1.7,,71,
David Lang,DAL,RB,27,16,0,0,0,0,0,0,1,7,7.00,0,0,0,0,,0,0,,0,,,1,0.7,0.7,0.7,,140,
Gordon Laro,JAX,TE,23,2,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,0,,0,,,1,1.6,1.6,1.1,,83,
Dennis Lundy,2TM,RB,23,9,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,1,,0,,,1,2.1,2.1,1.6,,135,
Anthony Lynn,SFO,RB,27,6,0,0,0,0,0,0,2,11,5.50,0,0,0,0,,0,0,,0,,,1,1.1,1.1,1.1,,136,
Sherriden May,NYJ,RB,22,5,1,0,0,0,0,0,2,5,2.50,0,0,0,0,,0,0,,0,,,1,0.5,0.5,0.5,,142,
Chris Penn,KAN,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,12,12.00,0,0,,0,,,1,2.2,2.2,1.7,,149,
Lovell Pinkney,STL,TE,23,8,0,0,0,0,0,0,0,0,,0,3,1,13,13.00,0,0,,0,,,1,2.3,2.3,1.8,,80,
Cedric Smith,WAS,FB,27,6,0,0,0,0,0,0,3,13,4.33,0,0,0,0,,0,0,,0,,,1,1.3,1.3,1.3,,134,
Robert Wilson,MIA,RB,26,16,0,0,0,0,0,0,1,5,5.00,0,1,1,3,3.00,0,0,,0,,,1,1.8,1.8,1.3,,139,
Ron Wolfley,STL,RB,33,9,0,0,0,0,0,0,3,9,3.00,0,0,0,0,,0,0,,0,,,1,0.9,0.9,0.9,,138,
Richie Anderson,NYJ,FB,24,10,0,0,1,0,0,0,5,17,3.40,0,8,5,26,5.20,0,2,2,0,,,,5.3,7.3,2.8,,145,
