Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Eric Martin,NOR,WR,29,16,16,0,0,0,0,0,0,0,,0,63,912,14.48,5,3,,5,,,118,181.2,185.7,149.7,10,20,60
Boomer Esiason,CIN,QB,29,16,16,224,402,3031,24,22,49,157,3.20,0,0,0,,0,11,,0,,,178,177.9,211.4,199.9,9,11,61
Rodney Peete,DET,QB,24,11,11,142,271,1974,13,8,47,363,7.72,6,0,0,,0,9,,6,,,178,178.3,196.8,186.3,9,10,62
Willie Gault,RAI,WR,30,16,16,0,0,0,0,0,0,0,,0,50,985,19.70,3,1,,3,,,116,165.5,169.0,140.5,7,21,63
Mervyn Fernandez,RAI,WR,31,16,15,0,0,0,0,0,3,10,3.33,0,52,839,16.13,5,0,,5,,,115,166.9,169.9,140.9,7,22,64
John Taylor,SFO,WR,28,14,14,0,0,0,0,0,0,0,,0,49,748,15.27,7,2,,7,,,115,163.8,167.8,139.3,7,23,65
Calvin Williams,PHI,WR,23,16,14,0,0,0,0,0,2,20,10.00,0,37,602,16.27,9,2,,9,,,114,151.2,155.2,132.7,6,24,66
Art Monk,WAS,WR,33,16,16,0,0,0,0,0,7,59,8.43,0,68,770,11.32,5,0,,5,,,113,180.9,183.9,146.9,5,25,67
Ed West,GNB,TE,29,16,16,0,0,0,0,0,0,0,,0,27,356,13.19,5,3,,5,,,63,89.6,94.1,76.1,5,10,68
Keith Byars,PHI,RB,27,16,15,4,4,53,4,0,37,141,3.81,0,81,819,10.11,3,4,,3,,,128,209.1,217.1,168.6,4,23,69
Bill Brooks,IND,WR,26,16,16,0,0,0,0,0,0,0,,0,62,823,13.27,5,0,,5,,,112,174.3,177.3,143.3,4,26,70
Al Toon,NYJ,WR,27,14,12,0,2,0,0,0,0,0,,0,57,757,13.28,6,0,,6,,,112,168.7,171.7,140.2,4,27,71
Mark Duper,MIA,WR,31,16,15,0,0,0,0,0,0,0,,0,52,810,15.58,5,1,,5,,,110,162.0,165.5,136.0,2,28,72
Webster Slaughter,CLE,WR,26,16,16,0,0,0,0,0,5,29,5.80,0,59,847,14.36,4,2,,4,,,110,168.6,172.6,139.1,1,29,73
