Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Jeff Blake,CIN,QB,24,10,9,156,306,2154,14,9,37,204,5.51,1,0,0,0,,0,6,5,1,1,,143,142.6,162.6,151.6,,17,
Vinny Testaverde,CLE,QB,31,14,13,207,376,2575,16,18,21,37,1.76,2,0,0,0,,0,3,2,2,,,143,142.7,165.7,160.7,,16,
Neil O'Donnell,PIT,QB,28,14,14,212,370,2443,13,9,31,80,2.58,1,0,0,0,,0,4,2,1,,,142,141.7,155.7,150.7,,18,
Troy Aikman*,DAL,QB,28,14,14,233,361,2676,13,12,30,62,2.07,1,0,0,0,,0,2,3,1,,,141,141.2,159.2,153.2,,19,
Dave Brown,NYG,QB,24,15,15,201,350,2536,12,16,60,196,3.27,2,0,0,0,,0,11,5,2,,,139,139.0,166.0,155.0,,20,
Rick Mirer,SEA,QB,24,13,13,195,381,2151,11,7,34,153,4.50,0,0,0,0,,0,2,1,0,,1,131,131.3,145.3,138.3,,21,
Barry Foster,PIT,RB,26,11,10,0,0,0,0,0,216,851,3.94,5,28,20,124,6.20,0,0,,5,,,128,147.5,153.5,137.5,,24,
Chris Miller,RAM,QB,29,13,10,173,317,2104,16,14,20,100,5.00,0,0,0,0,,0,7,2,0,,,126,126.2,148.2,140.2,,22,
Marion Butts,NWE,RB,28,16,15,0,0,0,0,0,243,703,2.89,8,14,9,54,6.00,0,1,,8,,,124,132.7,135.7,128.2,,25,
Dave Krieg,DET,QB,36,14,7,131,212,1629,14,3,23,35,1.52,0,0,0,0,,0,4,1,0,,2,121,120.7,127.7,123.7,,23,
Leroy Thompson,NWE,RB,25,16,1,0,0,0,0,0,102,312,3.06,2,86,65,465,7.15,5,2,1,7,,,118,182.7,189.7,150.2,,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Ervins,WAS,RB,26,16,10,0,0,0,0,0,185,650,3.51,3,67,51,293,5.75,1,1,1,4,,,116,167.3,174.3,141.8,,27,
Lorenzo White,HOU,RB,28,15,8,0,0,0,0,0,191,757,3.96,3,42,21,188,8.95,1,2,2,4,,,115,135.5,143.5,125.0,,28,
Ronald Moore,ARI,RB,24,16,16,0,1,0,0,0,232,780,3.36,4,11,8,52,6.50,1,2,1,5,1,,113,121.2,125.2,117.2,,29,
Brett Perriman,DET,WR,29,16,14,0,1,0,0,0,9,86,9.56,0,110,56,761,13.59,4,1,1,4,2,,111,166.7,170.7,138.7,,30,
