player_id,player_name
BarnMi21,Milton Barney
BarnTo22,Tommy Barnhardt
BarnDa20,Dan Barnhart
BarnRo22,Roy Barni
BarnGa01,Gary Barnidge
BarnEd20,Eddie Barnikow
BarnAm00,Amare Barno
BarnLe21,Len Barnum
BarnPe21,Pete Barnum
BarnMa01,Malcolm Barnwell
BarrAn00,Anthony Barr
BarrDa20,Dave Barr
BarrMi21,Mike Barr
BarrSh20,Shorty Barr
BarrTe00,Terry Barr
BarrBo20,Bob Barrabee
BarrNa20,Nate Barragar
BarrNa21,Napoleon Barrel
BarrAl00,Alex Barrett
BarrBo21,Bob Barrett
BarrDa21,Dave Barrett
BarrDa22,David Barrett
BarrEm20,Emmett Barrett
BarrJa00,Jan Barrett
BarrJe20,Jean Barrett
BarrJe21,Jeff Barrett
BarrJo20,John Barrett
BarrJo21,Johnny Barrett
BarrJo99,Josh Barrett
BarrRe00,Reggie Barrett
BarrSh00,Shaquil Barrett
BarrSe20,Sebastian Barrie
BarrSa00,Sam Barrington
BarrTo00,Tom Barrington
BarrAl20,Alex Barron
BarrJi20,Jim Barron
BarrMa00,Mark Barron
BarrLa00,Lamin Barrow
BarrMi20,Micheal Barrow
BarrSc20,Scott Barrows
BarrAl21,Al Barry
BarrFr20,Fred Barry
BarrKe20,Kevin Barry
BarrNo20,Norm Barry
BarrOd00,Odell Barry
BarrPa00,Paul Barry
BarsAl01,Alex Bars
BarsBr00,Brad Bars
BarsJo20,John Barsha
BartSt01,Steve Bartalo
BartBe00,Ben Bartch
BartWi20,William Bartee
BartRi00,Richard Bartel
BartRo20,Ron Bartell
barthco01,Connor Barth
BartBr20,Brent Bartholomew
BartSa20,Sam Bartholomew
BartSt00,Steve Bartkowski
BartDo20,Doug Bartlett
BartEa20,Earl Bartlett
BartRi20,Rich Bartlewski
BartEp20,Ephesians Bartley
BartCo00,Cody Barton
BartDo00,Don Barton
BartEr20,Eric Barton
BartGr00,Graham Barton
BartGr20,Greg Barton
BartHa00,Harris Barton
BartJa00,Jackson Barton
BartJi20,Jim Barton
BartKi20,Kirk Barton
BartHa20,Hank Bartos
BartJo00,Joe Bartos
BartMi00,Mike Bartrum
BartJo01,Joplo Bartu
BarwDi00,Dick Barwegen
BarwCo99,Connor Barwin
BarzCa20,Carl Barzilauskas
BarzFr20,Fritz Barzilauskas
BasaBr00,Brett Basanez
BascNi20,Nick Basca
BascBr00,Brian Baschnagel
BashCa00,Boogie Basham
BashTa00,Tarell Basham
BashMo20,Mose Bashaw
BashId20,Idrees Bashir
BasiMy20,Myrt Basing
BasiMi20,Michael Basinger
BaskRi20,Rich Baska
BaskMi00,Micah Baskerville
