Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Rabih Abdullah,CHI,RB,28,15,0,0,0,0,0,0,18,37,2.06,0,9,8,55,6.88,0,0,,0,,,9,17.2,17.2,13.2,,116,
Sam Gash,BUF,FB,34,16,10,0,0,0,0,0,1,3,3.00,0,13,11,83,7.55,0,1,,0,,,9,19.6,19.6,14.1,,118,
Tony Hollings,HOU,RB,22,14,1,0,0,0,0,0,38,102,2.68,0,6,2,25,12.50,0,2,2,0,,,9,10.7,15.7,9.7,,117,
Andre King,CLE,WR,30,15,0,0,0,0,0,0,0,0,,0,14,9,88,9.78,0,0,,0,,,9,17.8,17.8,13.3,,133,
Shaun King,TAM,QB,26,3,0,15,22,130,1,1,4,20,5.00,0,0,0,0,,0,0,,0,,,9,9.2,10.2,10.2,,55,
Kevin Swayne,NYJ,WR,28,15,0,0,0,0,0,0,0,0,,0,10,2,29,14.50,1,0,,1,,,9,10.9,10.9,9.9,,132,
Marques Tuiasosopo,OAK,QB,24,4,1,25,45,324,0,3,6,22,3.67,0,0,0,0,,0,2,,0,,,9,9.2,15.2,12.2,,56,
John Avery,MIN,RB,27,6,0,0,0,0,0,0,1,0,0.00,0,4,2,24,12.00,1,1,,1,,,8,10.4,10.4,9.4,,119,
Woodrow Dantzler,ATL,RB,24,9,0,0,1,0,0,0,8,21,2.63,1,0,0,0,,0,0,,1,,,8,8.1,8.1,8.1,,120,
Doug Gabriel,OAK,WR,23,12,0,0,0,0,0,0,0,0,,0,1,1,17,17.00,0,0,,1,,,8,8.7,8.7,8.2,,134,
Verron Haynes,PIT,RB,24,12,0,0,0,0,0,0,20,63,3.15,0,10,7,57,8.14,0,2,2,0,,,8,15.0,17.0,11.5,,121,
Will Heller,TAM,TE,22,9,1,0,0,0,0,0,0,0,,0,4,2,15,7.50,1,0,,1,,,8,9.5,9.5,8.5,,68,
Jabari Holloway,HOU,TE,25,15,9,0,0,0,0,0,0,0,,0,10,8,84,10.50,0,0,,0,,,8,16.4,16.4,12.4,,66,
Bryan Johnson,WAS,FB,25,16,11,0,0,0,0,0,2,5,2.50,0,12,9,71,7.89,0,0,,0,,,8,16.6,16.6,12.1,,123,
Kevin Lockett,NYJ,WR,29,3,0,0,0,0,0,0,0,0,,0,7,5,76,15.20,0,0,,0,,,8,12.6,12.6,10.1,,135,
Dustin Lyman,CHI,TE,27,9,1,0,0,0,0,0,0,0,,0,13,11,80,7.27,0,0,,0,,,8,19.0,19.0,13.5,,67,
Adrian Peterson,CHI,RB,24,6,1,0,0,0,0,0,22,70,3.18,0,1,1,5,5.00,0,0,,0,,,8,8.5,8.5,8.0,,124,
Rod Smart,CAR,RB,26,16,0,0,0,0,0,0,20,49,2.45,0,3,3,11,3.67,0,2,2,1,,,8,11.0,13.0,9.5,,122,
Reggie Barlow,TAM,WR,30,11,0,0,0,0,0,0,0,0,,0,6,3,27,9.00,1,1,1,1,,,7,9.7,10.7,8.2,,139,
Eddie Berlin,TEN,WR,25,14,0,0,0,0,0,0,0,0,,0,2,1,50,50.00,1,2,2,1,,,7,8.0,10.0,7.5,,136,
Todd Bouman,NOR,QB,31,4,0,7,13,81,1,0,3,1,0.33,0,0,0,0,,0,1,1,0,,1,7,7.3,8.3,7.3,,58,
Mark Bruener,PIT,TE,31,14,0,0,0,0,0,0,0,0,,0,6,2,12,6.00,1,0,,1,,,7,9.2,9.2,8.2,,69,
Jesse Chatman,SDG,RB,24,16,0,0,0,0,0,0,8,17,2.13,0,5,5,54,10.80,0,0,,0,,,7,12.1,12.1,9.6,,125,
Clarence Coleman,BUF,WR,23,14,0,0,0,0,0,0,0,0,,0,17,8,69,8.63,0,0,,0,,,7,14.9,14.9,10.9,,137,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeron Flemister,WAS,TE,27,12,9,0,0,0,0,0,0,0,,0,17,9,89,9.89,0,1,1,0,,,7,15.9,16.9,11.4,,71,
David Garrard,JAX,QB,25,2,0,9,12,86,1,0,0,0,,0,0,0,0,,0,0,,0,,,7,7.4,7.4,7.4,,57,
Shaun McDonald,STL,WR,22,8,1,0,0,0,0,0,2,7,3.50,0,21,10,62,6.20,0,1,,0,,,7,16.9,16.9,11.9,,138,
Jimmy Redmond,JAX,WR,26,12,0,0,0,0,0,0,0,0,,0,7,3,67,22.33,0,0,,0,,,7,9.7,9.7,8.2,,140,
O.J. Santiago,OAK,TE,29,12,7,0,0,0,0,0,0,0,,0,7,5,69,13.80,0,0,,0,,,7,11.9,11.9,9.4,,72,
Josh Scobey,ARI,RB,24,15,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,,1,,,7,7.9,7.9,7.4,,126,
Jerramy Stevens,SEA,TE,24,16,3,0,0,0,0,0,0,0,,0,19,6,72,12.00,0,0,,0,,,7,13.2,13.2,10.2,,70,
