player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Dan Pastorini,HOU,QB,23.0,14,12,144,299,1711,7,12,38,205,5.39,2,0,0,0.0,0,6,0,2,0.0,0.0,99.0,98.9,119.9,110.9,0.0,20.0,0.0
Josh Ashton,NWE,FB,23.0,14,12,0,0,0,0,0,128,546,4.27,3,22,207,9.41,1,3,0,4,0.0,0.0,96.0,118.3,125.8,107.3,0.0,36.0,0.0
Dennis Shaw,BUF,QB,25.0,14,13,136,258,1666,14,17,35,138,3.94,0,0,0,0.0,0,6,0,0,0.0,0.0,96.0,96.4,122.4,113.4,0.0,21.0,0.0
Charley Johnson,DEN,QB,34.0,12,9,132,238,1783,14,14,3,0,0.0,0,0,0,0.0,0,4,0,0,0.0,0.0,95.0,95.3,114.3,109.3,0.0,22.0,0.0
Earl Morrall,MIA,QB,38.0,14,9,83,150,1360,11,7,17,67,3.94,1,0,0,0.0,0,3,0,1,0.0,0.0,94.0,94.1,105.6,101.1,0.0,23.0,0.0
Jim Plunkett,NWE,QB,25.0,14,14,169,355,2196,8,25,36,230,6.39,1,0,0,0.0,0,6,0,1,0.0,0.0,93.0,92.8,126.8,117.8,0.0,24.0,0.0
Oscar Reed,MIN,RB,28.0,14,14,0,0,0,0,0,151,639,4.23,2,30,205,6.83,0,7,0,2,0.0,0.0,89.0,119.4,128.9,104.4,0.0,37.0,0.0
Steve Owens,DET,FB,25.0,10,9,0,0,0,0,0,143,519,3.63,4,15,100,6.67,0,0,0,4,0.0,0.0,86.0,100.9,106.9,93.4,0.0,38.0,0.0
Scott Hunter,GNB,QB,25.0,14,14,86,199,1252,6,9,22,37,1.68,5,0,0,0.0,0,5,0,5,0.0,0.0,85.0,84.8,99.3,93.8,0.0,25.0,0.0
Larry Schreiber,SFO,RB,25.0,14,3,0,0,0,0,0,118,420,3.56,2,31,283,9.13,1,4,0,3,0.0,0.0,84.0,115.3,123.3,99.8,0.0,39.0,0.0
Bo Scott,CLE,FB,29.0,12,12,0,0,0,0,0,123,571,4.64,2,23,172,7.48,0,2,0,2,0.0,0.0,84.0,107.3,114.3,95.8,0.0,40.0,0.0
Don Nottingham,BAL,FB,23.0,14,11,0,0,0,0,0,123,466,3.79,3,25,191,7.64,0,6,0,3,0.0,0.0,78.0,102.7,111.7,90.2,0.0,41.0,0.0
Clarence Davis,OAK,RB,23.0,11,0,0,0,0,0,0,71,363,5.11,6,8,82,10.25,0,4,0,6,0.0,0.0,77.0,84.5,89.5,80.5,0.0,42.0,0.0
Jim Harrison,CHI,FB,24.0,14,14,0,0,0,0,0,167,622,3.72,2,8,30,3.75,1,7,0,3,0.0,0.0,76.0,84.2,90.7,80.2,0.0,43.0,0.0
John Reaves,PHI,QB,22.0,11,7,108,224,1508,7,12,18,109,6.06,1,0,0,0.0,0,5,0,1,0.0,0.0,76.0,76.2,96.7,88.2,0.0,26.0,0.0
Ken Willard,SFO,FB,29.0,14,11,0,0,0,0,0,100,345,3.45,4,24,131,5.46,1,3,0,5,0.0,0.0,75.0,98.6,106.1,86.6,0.0,44.0,0.0
Charlie Evans,NYG,FB,24.0,8,8,0,0,0,0,0,91,317,3.48,4,26,182,7.0,1,6,0,5,0.0,0.0,74.0,99.9,108.9,86.9,0.0,46.0,0.0
Paul Robinson,2TM,RB,28.0,12,7,0,0,0,0,0,107,449,4.2,3,14,112,8.0,0,0,0,3,0.0,0.0,74.0,88.1,94.1,81.1,0.0,45.0,0.0
Po James,PHI,RB,23.0,14,14,0,0,0,0,0,182,565,3.1,0,20,156,7.8,1,6,0,1,0.0,0.0,72.0,92.1,101.1,82.1,0.0,47.0,0.0
Bob Gresham,NOR,RB,24.0,14,9,0,1,0,0,0,121,381,3.15,3,29,192,6.62,0,5,0,3,0.0,0.0,70.0,99.3,107.8,84.8,0.0,48.0,0.0
Bob Thomas,RAM,FB,24.0,14,5,0,0,0,0,0,77,433,5.62,3,11,95,8.64,0,1,0,3,0.0,0.0,70.0,80.8,84.3,75.3,0.0,49.0,0.0
Bobby Anderson,DEN,FB,25.0,9,9,1,3,14,1,0,72,319,4.43,1,23,215,9.35,1,2,0,2,0.0,0.0,68.0,91.0,98.0,79.5,0.0,50.0,0.0
Ahmad Rashad,STL,WR,23.0,14,13,0,0,0,0,0,9,44,4.89,0,29,500,17.24,3,5,0,3,0.0,0.0,67.0,96.4,101.9,81.9,0.0,26.0,0.0
Walker Gillette,STL,WR,25.0,14,13,0,0,0,0,0,0,0,0.0,0,33,550,16.67,2,1,0,2,0.0,0.0,66.0,99.0,102.5,82.5,0.0,27.0,0.0
Haven Moses,2TM,WR,26.0,13,6,0,0,0,0,0,2,11,5.5,0,18,284,15.78,6,0,0,6,0.0,0.0,66.0,83.5,86.5,74.5,0.0,28.0,0.0
Rich Houston,NYG,WR,27.0,14,14,0,0,0,0,0,0,0,0.0,0,27,468,17.33,3,1,0,3,0.0,0.0,64.0,90.8,94.3,77.3,0.0,30.0,0.0
Ron Jessie,DET,WR,24.0,14,14,0,1,0,0,0,0,0,0.0,0,24,424,17.67,4,2,0,4,0.0,0.0,64.0,88.4,92.4,76.4,0.0,29.0,0.0
John Brodie,SFO,QB,37.0,6,5,70,110,905,9,8,3,8,2.67,1,0,0,0.0,0,0,0,1,0.0,0.0,63.0,63.0,74.0,71.0,0.0,27.0,0.0
Larry Smith,RAM,RB,25.0,12,3,0,0,0,0,0,60,276,4.6,2,15,186,12.4,1,1,0,3,0.0,0.0,63.0,78.2,84.7,70.7,0.0,51.0,0.0
Earl Thomas,CHI,WR,24.0,14,14,0,0,0,0,0,5,13,2.6,0,20,365,18.25,3,1,0,4,0.0,0.0,61.0,80.8,84.3,70.8,0.0,31.0,0.0
Joe Dawkins,DEN,FB,24.0,14,5,0,0,0,0,0,56,243,4.34,2,18,242,13.44,0,3,0,2,0.0,0.0,58.0,75.5,83.0,66.5,0.0,53.0,0.0
Dave Osborn,MIN,RB,29.0,14,5,0,0,0,0,0,82,261,3.18,2,20,166,8.3,1,3,0,3,0.0,0.0,58.0,77.7,85.2,67.7,0.0,52.0,0.0
Fair Hooker,CLE,WR,25.0,14,14,0,0,0,0,0,0,0,0.0,0,32,441,13.78,2,0,0,2,0.0,0.0,56.0,88.1,91.1,72.1,0.0,32.0,0.0
Jackie Smith,STL,TE,32.0,14,14,0,2,0,0,0,5,31,6.2,0,26,407,15.65,2,0,0,2,0.0,0.0,56.0,81.8,84.8,68.8,0.0,11.0,0.0
Marlin Briscoe,MIA,WR,27.0,10,3,3,3,72,0,0,0,0,0.0,0,16,279,17.44,4,0,0,4,0.0,0.0,55.0,70.8,73.8,62.8,0.0,34.0,0.0
Bill Butler,NOR,FB,22.0,14,9,0,0,0,0,0,54,233,4.31,0,25,226,9.04,2,3,0,2,0.0,0.0,55.0,79.9,87.4,67.4,0.0,54.0,0.0
Charlie Joiner,2TM,WR,25.0,12,10,0,0,0,0,0,3,14,4.67,0,24,439,18.29,2,2,0,2,0.0,0.0,55.0,79.3,83.3,67.3,0.0,33.0,0.0
