Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Preston Dennard,BUF,WR,29,16,13,0,0,0,0,0,0,0,,0,30,417,13.90,7,1,,7,,,83,112.7,116.2,97.7,,43,
Boyce Green,CLE,RB,24,16,10,0,0,0,0,0,202,673,3.33,0,12,124,10.33,1,3,,1,,,83,94.7,102.2,88.7,,46,
Mark Nichols,DET,WR,25,15,9,0,0,0,0,0,3,27,9.00,0,34,744,21.88,1,0,,1,,,83,117.1,120.1,100.1,,42,
Tommy Kramer,MIN,QB,29,9,9,124,236,1678,9,10,15,9,0.60,0,1,20,20.00,1,10,,1,,,82,83.0,101.0,92.5,,29,
Walter Abercrombie,PIT,RB,25,14,7,0,0,0,0,0,145,610,4.21,1,16,135,8.44,0,0,,1,,,81,96.5,102.5,88.5,,47,
Timmy Newsome,DAL,RB,26,15,4,0,0,0,0,0,66,268,4.06,5,26,263,10.12,0,3,,5,,,80,106.1,113.6,93.1,,48,
Stephone Paige,KAN,WR,23,16,1,0,0,0,0,0,3,19,6.33,0,30,541,18.03,4,0,,4,,,80,110.0,113.0,95.0,,44,
Wayne Wilson,NOR,RB,27,14,2,0,0,0,0,0,74,261,3.53,1,33,314,9.52,3,2,,4,,,80,112.5,119.5,96.0,,49,
Theotis Brown,KAN,FB,27,14,7,0,0,0,0,0,97,337,3.47,4,38,236,6.21,0,2,,4,,,79,117.3,124.3,98.3,,50,
Charles Alexander,CIN,FB,27,16,12,0,0,0,0,0,132,479,3.63,2,29,203,7.00,0,2,,2,,,78,107.2,114.2,92.7,,51,
Todd Blackledge,KAN,QB,23,11,8,147,294,1707,6,11,18,102,5.67,1,0,0,,0,8,,1,,,78,78.5,99.5,89.5,,30,
Darrin Nelson,MIN,RB,25,15,8,0,0,0,0,0,80,406,5.08,3,27,162,6.00,1,4,,4,,,77,103.8,111.8,90.3,,52,
Gerald Willhite,DEN,RB,25,16,1,1,2,20,0,0,77,371,4.82,2,27,298,11.04,0,3,,2,,,77,103.7,111.2,90.2,,53,
Kellen Winslow,SDG,TE,27,7,7,0,0,0,0,0,0,0,,0,55,663,12.05,2,1,,2,,,77,132.3,135.8,104.8,,12,
Tyrone Young,NOR,WR,24,16,8,0,0,0,0,0,0,0,,0,29,597,20.59,3,1,,3,,,77,105.7,109.2,91.2,,45,
Mike Renfro,DAL,WR,29,16,11,1,2,49,1,0,0,0,,0,35,583,16.66,2,0,,2,,,76,111.3,114.3,93.8,,46,
Johnny Hector,NYJ,RB,24,13,2,0,0,0,0,0,124,531,4.28,1,20,182,9.10,0,2,,1,,,75,95.3,102.3,85.3,,54,
Dokie Williams,RAI,WR,24,16,2,0,0,0,0,0,0,0,,0,22,509,23.14,4,0,,4,,,75,96.9,99.9,85.9,,47,
Ron Brown,RAM,WR,23,16,0,0,0,0,0,0,2,25,12.50,0,23,478,20.78,4,0,,4,,,74,97.3,100.3,85.8,,48,
John Spagnola,PHI,TE,27,16,16,0,0,0,0,0,0,0,,0,65,701,10.78,1,2,,1,,,74,139.1,143.1,106.6,,13,
Jeff Chadwick,DET,WR,24,16,3,0,0,0,0,0,1,12,12.00,1,37,540,14.59,2,0,,3,,,73,110.2,113.2,91.7,,49,
Earl Campbell,2TM,RB,29,14,6,0,0,0,0,0,146,468,3.21,4,3,27,9.00,0,2,,4,,,72,74.5,78.5,73.0,,55,
Earl Cooper,SFO,FB,27,16,8,0,0,0,0,0,3,13,4.33,0,41,459,11.20,4,0,,4,,,71,112.2,115.2,91.7,,56,
Jamie Williams,HOU,TE,24,16,16,0,0,0,0,0,0,0,,0,41,545,13.29,3,2,,3,,,71,111.5,115.5,91.0,,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Doornink,SEA,FB,28,16,3,0,0,0,0,0,57,215,3.77,0,31,365,11.77,2,0,,2,,,70,101.0,107.0,85.5,,57,
Earnest Byner,CLE,RB,22,16,3,0,0,0,0,0,72,426,5.92,2,11,118,10.73,0,3,,3,,,69,80.4,87.9,74.9,,58,
Mike Jones,MIN,WR,24,16,14,0,0,0,0,0,4,45,11.25,0,38,591,15.55,1,1,,1,,,69,106.6,110.1,87.6,,51,
Eric Lane,SEA,RB,25,15,7,0,0,0,0,0,80,299,3.74,4,11,101,9.18,1,1,,5,,,69,80.0,86.5,74.5,,59,
Tracy Porter,IND,WR,25,16,12,0,0,0,0,0,0,0,,0,39,590,15.13,2,2,,2,,,69,108.0,112.0,88.5,,50,
