player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Ron Shanklin,PIT,WR,22.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,691.0,23.03,4.0,1.0,,4.0,,,92.0,122.1,125.6,107.1,31.0,12.0,35.0
Harold Jackson,PHI,WR,24.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-5.0,0.0,41.0,613.0,14.95,5.0,0.0,,5.0,,,91.0,131.8,134.8,111.3,30.0,13.0,36.0
Bob Tucker,NYG,TE,25.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,40.0,571.0,14.28,5.0,0.0,,5.0,,,87.0,127.1,130.1,107.1,30.0,7.0,37.0
Ed Podolak,KAN,RB,23.0,14.0,9.0,2.0,2.0,40.0,0.0,0.0,168.0,749.0,4.46,3.0,26.0,307.0,11.81,1.0,6.0,,4.0,,,125.0,151.2,160.2,138.2,28.0,12.0,38.0
Paul Robinson,CIN,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,149.0,622.0,4.17,6.0,17.0,175.0,10.29,1.0,0.0,,7.0,,,122.0,138.7,144.7,130.2,24.0,13.0,39.0
Lance Alworth,SDG,WR,30.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,35.0,608.0,17.37,4.0,0.0,,4.0,,,85.0,119.8,122.8,102.3,23.0,15.0,40.0
Larry Walton,DET,WR,23.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,10.0,0.0,30.0,532.0,17.73,5.0,0.0,,5.0,,,85.0,115.2,118.2,100.2,23.0,14.0,41.0
Dave Osborn*,MIN,RB,27.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,207.0,681.0,3.29,5.0,23.0,202.0,8.78,1.0,5.0,,6.0,,,119.0,142.3,150.8,130.8,22.0,14.0,42.0
Jack Concannon,CHI,QB,27.0,14.0,13.0,194.0,385.0,2130.0,16.0,18.0,42.0,136.0,3.24,2.0,0.0,0.0,,0.0,6.0,,2.0,,,133.0,132.8,159.8,150.8,20.0,7.0,43.0
Floyd Little*,DEN,RB,28.0,14.0,14.0,0.0,2.0,0.0,0.0,0.0,209.0,901.0,4.31,3.0,17.0,161.0,9.47,0.0,6.0,,3.0,,,118.0,135.2,144.2,126.7,20.0,15.0,44.0
Jerry LeVias,HOU,WR,24.0,14.0,14.0,0.0,1.0,0.0,0.0,1.0,7.0,37.0,5.29,0.0,41.0,529.0,12.9,5.0,2.0,,5.0,,,83.0,123.6,128.6,104.1,20.0,16.0,45.0
Gary Ballman,PHI,TE,30.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,47.0,601.0,12.79,3.0,1.0,,3.0,,,77.0,124.1,127.6,100.6,19.0,8.0,46.0
Norm Snead,PHI,QB,31.0,14.0,13.0,181.0,335.0,2323.0,15.0,20.0,18.0,35.0,1.94,3.0,0.0,0.0,,0.0,3.0,,3.0,,,131.0,131.4,155.9,151.4,18.0,8.0,47.0
Otis Taylor,KAN,WR,28.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,4.33,0.0,34.0,618.0,18.18,3.0,1.0,,3.0,,,80.0,114.1,117.6,97.1,18.0,17.0,48.0
