Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Mike Hogan,PHI,FB,24,14,12,0,0,0,0,0,145,607,4.19,4,31,164,5.29,1,5,,5,,,102,133.1,141.6,117.6,,41,
Craig Morton,DEN,QB,35,14,13,146,267,1802,11,8,17,71,4.18,0,0,0,,0,6,,0,,,101,101.2,115.2,109.2,,18,
Barty Smith,GNB,FB,26,16,16,0,0,0,0,0,154,567,3.68,4,37,256,6.92,0,5,,4,,,101,138.3,146.8,119.8,,43,
Ken Anderson,CIN,QB,29,12,12,173,319,2219,10,22,29,167,5.76,1,0,0,,0,8,,1,,,99,99.5,131.5,121.5,,19,
Joe Pisarcik,NYG,QB,26,15,12,143,301,2096,12,23,17,68,4.00,1,0,0,,0,2,,1,,,97,96.6,123.6,119.6,,20,
Doug Kotar,NYG,RB,27,15,5,0,0,0,0,0,149,625,4.19,1,22,225,10.23,1,1,,2,,,96,118.0,124.5,107.0,,44,
Matt Robinson,NYJ,QB,23,16,11,124,266,2002,13,16,28,23,0.82,0,0,0,,0,6,,0,,,96,96.4,118.4,112.4,,21,
Curtis Brown,BUF,FB,24,15,10,0,0,0,0,0,128,591,4.62,4,18,130,7.22,0,7,,5,,,95,113.1,122.6,104.1,,45,
Haskel Stanback,ATL,RB,26,15,15,0,0,0,0,0,188,588,3.13,5,12,108,9.00,0,5,,5,,,95,106.6,115.1,100.6,,46,
Archie Griffin,CIN,RB,24,16,8,2,3,21,1,0,132,484,3.67,0,35,284,8.11,3,6,,3,,,94,128.6,137.6,111.1,,49,
Mike Pruitt,CLE,FB,24,16,9,0,0,0,0,0,135,560,4.15,5,20,112,5.60,0,3,,5,,,94,114.2,121.7,104.2,,47,
David Whitehurst,GNB,QB,23,16,16,168,328,2093,10,17,28,67,2.39,1,0,0,,0,8,,1,,,94,94.4,118.4,111.4,,22,
Don Woods,SDG,FB,27,16,7,0,0,0,0,0,151,514,3.40,3,34,295,8.68,0,5,,3,,,94,127.9,136.4,110.9,,48,
Bob Griese*,MIA,QB,33,11,9,148,235,1791,11,11,9,10,1.11,0,0,0,,0,3,,0,,,92,91.6,107.1,102.6,,23,
Hank Bauer,SDG,RB,24,16,4,0,0,0,0,0,85,304,3.58,8,10,78,7.80,1,2,,9,,,90,100.2,104.2,95.2,,50,
O.J. Simpson,SFO,RB,31,10,10,0,0,0,0,0,161,593,3.68,1,21,172,8.19,2,5,,3,,,90,110.5,119.0,100.0,,51,
Bobby Hammond,NYG,RB,26,14,11,0,0,0,0,0,131,554,4.23,1,20,173,8.65,2,4,,3,,,87,106.7,114.7,96.7,,52,
Duriel Harris,MIA,WR,24,16,15,0,0,0,0,0,0,0,,0,45,654,14.53,3,0,,3,,,83,128.4,131.4,105.9,,30,
Jon Keyworth,DEN,FB,28,16,16,0,0,0,0,0,112,444,3.96,3,21,166,7.90,1,2,,4,,,83,104.0,111.0,93.5,,53,
Dave Logan,CLE,WR,24,16,16,0,0,0,0,0,0,0,,0,37,585,15.81,4,0,,4,,,83,119.5,122.5,101.0,,32,
John McDaniel,WAS,WR,27,15,11,0,0,0,0,0,2,25,12.50,0,34,577,16.97,4,1,,4,,,83,117.2,120.7,100.2,,31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Carpenter,HOU,RB,23,11,2,0,0,0,0,0,82,348,4.24,5,17,150,8.82,0,0,,5,,,80,96.8,102.8,88.3,,54,
Leroy Harris,MIA,FB,24,15,11,0,0,0,0,0,123,512,4.16,2,25,211,8.44,0,5,,2,,,79,104.3,112.8,91.8,,55,
Lonnie Perrin,DEN,RB,26,16,0,0,0,0,0,0,108,455,4.21,4,10,54,5.40,1,2,,5,,,79,88.9,92.9,83.9,,56,
Bruce Harper,NYJ,RB,23,16,0,0,0,0,0,0,58,303,5.22,2,13,196,15.08,2,3,,5,,,77,89.9,97.4,83.4,,57,
