Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Roger Craig,MIN,RB,33,14,3,0,0,0,0,0,38,119,3.13,1,32,19,169,8.89,1,1,,2,,,40,58.8,65.3,49.3,,72,
Eric Lynch,DET,RB,23,4,2,0,0,0,0,0,53,207,3.91,2,16,13,82,6.31,0,1,,2,,,40,52.9,56.4,46.4,,71,
Jarrod Bunch,NYG,FB,25,13,8,0,0,0,0,0,33,128,3.88,2,18,13,98,7.54,1,2,,3,,,39,51.6,55.6,45.1,,73,
Curtis Conway,CHI,WR,22,16,7,0,0,0,0,0,5,44,8.80,0,42,19,231,12.16,2,1,,2,,,39,57.5,61.0,48.0,,76,
Anthony Edwards,PHO,WR,27,16,0,0,0,0,0,0,0,0,,0,25,13,326,25.08,1,0,,1,,,39,51.6,54.6,45.1,,75,
Rich Gannon,WAS,QB,28,8,4,74,125,704,3,7,21,88,4.19,1,,0,0,,0,3,,1,,,38,38.0,49.5,45.0,,39,
Jonathan Hayes,KAN,TE,31,16,16,0,0,0,0,0,0,0,,0,38,24,331,13.79,1,1,,1,,,38,62.1,65.6,50.1,,19,
Drew Hill,ATL,WR,37,16,7,0,0,0,0,0,0,0,,0,59,34,384,11.29,0,0,,0,,,38,72.4,75.4,55.4,,77,
Terance Mathis,NYJ,WR,26,16,3,0,0,0,0,0,2,20,10.00,1,46,24,352,14.67,0,5,,1,,,38,62.2,67.7,50.2,,78,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Carlson,HOU,QB,30,8,2,51,90,605,2,4,14,41,2.93,2,,0,0,,0,3,,2,,,37,37.3,45.8,41.3,,40,
Earnest Byner,WAS,RB,31,16,3,0,0,0,0,0,23,105,4.57,1,52,27,194,7.19,0,0,,1,,,36,62.9,68.9,49.4,,74,
Ken O'Brien,PHI,QB,33,5,4,71,137,708,4,3,4,17,4.25,0,,0,0,,0,4,,0,,,36,36.0,44.0,39.0,,41,
Ray Crittenden,NWE,WR,23,16,2,0,0,0,0,0,1,-3,-3.00,0,34,16,293,18.31,1,0,,1,,,35,51.0,54.0,43.0,,79,
Ferrell Edmunds,SEA,TE,28,16,16,0,0,0,0,0,0,0,,0,45,24,239,9.96,2,1,,2,,,35,58.9,62.4,46.9,,21,
Rodney Holman,DET,TE,33,16,16,0,0,0,0,0,0,0,,0,37,25,244,9.76,2,1,,2,,,35,60.4,63.9,47.9,,20,
