player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Don Herrmann,NOR,WR,28.0,3,0,0,0,0,0,0,0,0,0.0,0,3,47,15.67,1,0,0,1,0.0,0.0,11.0,13.7,13.7,12.2,0.0,71.0,0.0
Don Clune,NYG,WR,23.0,14,0,0,0,0,0,0,0,0,0.0,0,5,97,19.4,0,0,0,0,0.0,0.0,10.0,14.7,14.7,12.2,0.0,72.0,0.0
Neil Graff,NWE,QB,25.0,11,2,18,35,221,2,3,2,2,1.0,0,0,0,0.0,0,1,0,0,0.0,0.0,10.0,10.0,13.5,13.0,0.0,52.0,0.0
Scott Laidlaw,DAL,RB,22.0,8,0,0,0,0,0,0,3,10,3.33,0,11,100,9.09,0,1,0,0,0.0,0.0,10.0,21.0,24.5,15.5,0.0,116.0,0.0
Doug Dressler,2TM,RB,27.0,13,0,0,0,0,0,0,6,24,4.0,0,3,6,2.0,1,0,0,1,0.0,0.0,9.0,12.0,12.0,10.5,0.0,117.0,0.0
Hubert Ginn,MIA,RB,28.0,11,0,0,0,0,0,0,21,78,3.71,0,3,21,7.0,0,1,0,0,0.0,0.0,9.0,11.9,12.4,10.4,0.0,118.0,0.0
Morris LaGrand,2TM,RB,22.0,13,0,0,0,0,0,0,13,38,2.92,1,1,-1,-1.0,0,1,0,1,0.0,0.0,9.0,9.7,10.2,9.2,0.0,119.0,0.0
Bob Lee,MIN,QB,29.0,4,0,5,14,103,2,1,1,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,9.0,9.1,10.6,10.1,0.0,53.0,0.0
Warren Bankston,OAK,TE,28.0,14,0,0,0,0,0,0,0,0,0.0,0,2,21,10.5,1,0,0,1,0.0,0.0,8.0,10.1,10.1,9.1,0.0,39.0,0.0
Bob Brunet,WAS,RB,29.0,14,0,0,0,0,0,0,6,23,3.83,1,0,0,0.0,0,0,0,1,0.0,0.0,8.0,8.3,8.3,8.3,0.0,120.0,0.0
Jimmie Kennedy,BAL,TE,23.0,14,0,0,0,0,0,0,0,0,0.0,0,2,15,7.5,1,0,0,1,0.0,0.0,8.0,9.5,9.5,8.5,0.0,40.0,0.0
Cleo Miller,2TM,RB,23.0,11,0,0,0,0,0,0,13,23,1.77,1,2,20,10.0,0,2,0,1,0.0,0.0,8.0,10.3,11.3,9.3,0.0,121.0,0.0
Rod Phillips,RAM,RB,23.0,14,1,0,0,0,0,0,17,69,4.06,0,2,10,5.0,0,0,0,0,0.0,0.0,8.0,9.9,9.9,8.9,0.0,122.0,0.0
Louis Carter,OAK,RB,22.0,8,0,0,0,0,0,0,11,27,2.45,0,2,39,19.5,0,0,0,0,0.0,0.0,7.0,8.6,8.6,7.6,0.0,124.0,0.0
Steve Craig,MIN,TE,24.0,14,1,0,0,0,0,0,0,0,0.0,0,6,68,11.33,0,0,0,0,0.0,0.0,7.0,12.8,12.8,9.8,0.0,41.0,0.0
