player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Charlie Garner,PHI,FB,22.0,10,8,0,0,0,0,0,109,399,3.66,3,12.0,8,74,9.25,0,3,2,3,0.0,0.0,61.0,69.3,74.3,65.3,0.0,51.0,0.0
Bill Brooks,BUF,WR,30.0,16,9,0,0,0,0,0,0,0,0.0,0,59.0,42,482,11.48,2,1,0,2,0.0,0.0,60.0,102.2,105.2,81.2,0.0,65.0,0.0
Johnny Bailey,RAM,RB,27.0,14,0,0,0,0,0,0,11,35,3.18,1,67.0,58,516,8.9,0,2,1,1,0.0,0.0,59.0,117.1,121.1,88.1,0.0,53.0,0.0
Harold Green,CIN,RB,26.0,14,11,0,0,0,0,0,76,223,2.93,1,41.0,27,267,9.89,1,1,1,2,0.0,0.0,59.0,86.0,93.0,72.5,0.0,54.0,0.0
Amp Lee,MIN,RB,23.0,13,0,0,0,0,0,0,29,104,3.59,0,55.0,45,368,8.18,2,1,0,2,0.0,0.0,59.0,104.2,110.2,81.7,0.0,52.0,0.0
Kenneth Davis,BUF,RB,32.0,16,1,0,0,0,0,0,91,381,4.19,2,23.0,18,82,4.56,0,3,0,2,0.0,0.0,58.0,76.3,79.3,67.3,0.0,55.0,0.0
Ernest Givins,HOU,WR,30.0,16,16,0,0,0,0,0,1,-5,-5.0,0,78.0,36,521,14.47,1,3,3,2,0.0,0.0,58.0,93.6,99.6,75.6,0.0,66.0,0.0
Vaughn Hebron,PHI,RB,24.0,16,2,0,0,0,0,0,82,325,3.96,2,22.0,18,137,7.61,0,0,0,2,0.0,0.0,58.0,76.2,82.2,67.2,0.0,56.0,0.0
David Klingler,CIN,QB,25.0,10,7,131,231,1327,6,9,17,85,5.0,0,1.0,1,-6,-6.0,0,7,6,0,0.0,0.0,55.0,56.0,74.0,64.5,0.0,36.0,0.0
Tony McGee,CIN,TE,23.0,16,16,0,0,0,0,0,0,0,0.0,0,70.0,40,492,12.3,1,0,0,1,0.0,0.0,55.0,95.2,98.2,75.2,0.0,12.0,0.0
Ray Crittenden,NWE,WR,24.0,16,2,0,0,0,0,0,0,0,0.0,0,66.0,28,379,13.54,3,1,1,3,0.0,0.0,54.0,81.9,85.9,67.9,0.0,68.0,0.0
Jackie Harris,TAM,TE,26.0,9,9,0,0,0,0,0,0,0,0.0,0,44.0,26,337,12.96,3,0,0,3,1.0,0.0,54.0,79.7,82.7,66.7,0.0,13.0,0.0
Randal Hill,ARI,WR,25.0,14,14,0,0,0,0,0,0,0,0.0,0,82.0,38,544,14.32,0,0,0,0,0.0,0.0,54.0,92.4,95.4,73.4,0.0,67.0,0.0
Todd Kinchen,RAM,WR,25.0,13,0,0,0,0,0,0,1,44,44.0,1,33.0,23,352,15.3,3,5,5,4,0.0,0.0,54.0,76.6,84.6,65.1,0.0,70.0,0.0
Aubrey Matthews,DET,WR,32.0,14,3,0,0,0,0,0,0,0,0.0,0,47.0,29,359,12.38,3,1,0,3,0.0,0.0,54.0,82.9,85.9,68.4,0.0,69.0,0.0
Richie Anderson,NYJ,FB,23.0,13,5,0,0,0,0,0,43,207,4.81,1,33.0,25,212,8.48,1,1,1,2,0.0,0.0,52.0,76.9,83.9,64.4,0.0,57.0,0.0
Mike Tomczak,PIT,QB,32.0,6,2,54,93,804,4,0,4,22,5.5,0,0.0,0,0,0.0,0,2,0,0,0.0,1.0,52.0,52.4,55.4,52.4,0.0,37.0,0.0
Irv Smith,NOR,TE,23.0,16,16,0,0,0,0,0,0,0,0.0,0,53.0,41,330,8.05,3,0,0,3,0.0,0.0,51.0,92.0,95.0,71.5,0.0,14.0,0.0
Erric Pegram,ATL,RB,25.0,13,5,0,0,0,0,0,103,358,3.48,1,20.0,16,99,6.19,0,2,1,1,0.0,0.0,50.0,65.7,69.7,57.7,0.0,58.0,0.0
Cedric Tillman,DEN,WR,24.0,16,4,0,0,0,0,0,0,0,0.0,0,45.0,28,455,16.25,1,1,1,1,0.0,0.0,50.0,77.5,81.5,63.5,0.0,71.0,0.0
Ed West,GNB,TE,33.0,14,12,0,0,0,0,0,0,0,0.0,0,54.0,31,377,12.16,2,1,1,2,1.0,0.0,50.0,80.7,84.7,65.2,0.0,15.0,0.0
Andrew Glover,RAI,TE,27.0,16,16,0,0,0,0,0,0,0,0.0,0,53.0,33,371,11.24,2,0,0,2,0.0,0.0,49.0,82.1,85.1,65.6,0.0,16.0,0.0
Terry Kirby,MIA,RB,24.0,4,4,0,0,0,0,0,60,233,3.88,2,19.0,14,154,11.0,0,2,2,2,1.0,0.0,49.0,62.7,70.7,55.7,0.0,59.0,0.0
Tydus Winans,WAS,WR,22.0,15,0,0,0,0,0,0,1,5,5.0,0,35.0,19,344,18.11,2,0,0,2,1.0,0.0,49.0,67.9,70.9,58.4,0.0,72.0,0.0
Derrick Walker,KAN,TE,27.0,15,11,0,0,0,0,0,0,0,0.0,0,51.0,36,382,10.61,2,1,1,2,0.0,0.0,48.0,84.2,88.2,66.2,0.0,17.0,0.0
Ernie Mills,PIT,WR,26.0,15,6,0,0,0,0,0,3,18,6.0,0,46.0,19,384,20.21,1,1,0,1,0.0,0.0,46.0,65.2,68.2,55.7,0.0,73.0,0.0
Brad Baxter,NYJ,FB,27.0,15,9,0,0,0,0,0,60,170,2.83,4,11.0,10,40,4.0,0,0,0,4,0.0,0.0,45.0,55.0,58.0,50.0,0.0,60.0,0.0
Isaac Bruce,RAM,WR,22.0,12,0,0,0,0,0,0,1,2,2.0,0,44.0,21,272,12.95,3,0,0,3,0.0,0.0,45.0,66.4,69.4,55.9,0.0,74.0,0.0
Aaron Pierce,NYG,TE,25.0,16,11,0,0,0,0,0,0,0,0.0,0,38.0,20,214,10.7,4,0,0,4,0.0,0.0,45.0,65.4,68.4,55.4,0.0,18.0,0.0
Earnest Byner,CLE,RB,32.0,16,1,0,0,0,0,0,75,219,2.92,2,15.0,11,102,9.27,0,0,0,2,0.0,0.0,44.0,55.1,61.1,49.6,0.0,62.0,0.0
Carwell Gardner,BUF,FB,28.0,16,7,0,0,0,0,0,41,135,3.29,4,14.0,11,89,8.09,0,1,1,4,0.0,0.0,44.0,55.4,59.4,49.9,0.0,61.0,0.0
Reggie Brooks,WAS,RB,23.0,13,5,0,0,0,0,0,100,297,2.97,2,21.0,13,68,5.23,0,3,3,2,0.0,0.0,43.0,55.5,61.5,49.0,0.0,64.0,0.0
Irving Spikes,MIA,RB,24.0,12,1,0,0,0,0,0,70,312,4.46,2,7.0,4,16,4.0,0,1,1,2,0.0,0.0,43.0,46.8,50.8,44.8,0.0,63.0,0.0
Steve Bono,KAN,QB,32.0,7,2,66,117,796,4,4,4,-1,-0.25,0,0.0,0,0,0.0,0,0,0,0,0.0,1.0,42.0,41.7,48.7,45.7,0.0,38.0,0.0
Robert Green,CHI,RB,24.0,15,0,0,0,0,0,0,25,122,4.88,0,33.0,24,199,8.29,2,1,1,2,0.0,0.0,42.0,66.1,73.1,54.1,0.0,65.0,0.0
Michael Jackson,CLE,WR,25.0,9,7,0,2,0,0,0,0,0,0.0,0,59.0,21,304,14.48,2,0,0,2,0.0,0.0,42.0,63.4,66.4,52.9,0.0,75.0,0.0
Hugh Millen,DEN,QB,31.0,5,2,81,131,893,2,3,5,57,11.4,0,0.0,0,0,0.0,0,2,2,0,0.0,1.0,41.0,41.4,49.4,44.4,0.0,39.0,0.0
